; Delfshaven, Hoogvliet, Prins Alex.,Ijsselmonde;;;;;;;;;;
;Straat;Soort pand / Bestemming;Type;;Eigenaar;m2;Huur p/m Exl. BTW;;Beschikb.;;
;Aelbrechtskade 65;Winkelruimte;Commercieel;;Woonbron;127;1600;;direct;;
;Burgemeester Meineszplein 19;Winkel/kantoor;Commercieel;;Woonbron;40;675;;direct;;
;Gerrit van de Lindestraat 71 D;Winkel/werkruimte;Commercieel;;Woonbron;60;500;;direct;;
;Gerrit van de Lindestraat 52/58;kantoor/opslag;Commercieel;;Woonbron;104;700;;direct;;
;Hooidrift 108;Winkel/kantoor;Comm/maatsch;;Woonbron;70;500;;in overleg;;
;Hooidrift 135;Winkel/opslag;Commercieel;;Woonbron;80;400;;direct;;
;Mathenesserweg 207;Winkelruimte;Commercieel;;Woonbron;33;400;;direct;;
;Nieuwe Binnenweg 397;Winkel;Commercieel;;Woonbron;235;2800;;direct;;
;Nieuwe Binnenweg 507;Winkel / kantoor;Maatschappelijk;;Woonbron;113;1250;;direct;;
;Oostkousdijk 14-18;kantoor;Comm/maatscha;;Woonbron;305;2990;;direct;;
;Passerelstraat 11 A;Opslagruimte;Commercieel;;Woonbron;270;1020;;direct;;
;Passerelstraat 11 B;Opslagruimte;Commercieel;;Woonbron;295;1100;;direct;;
;Passerelstraat 25 B;Opslagruimte;Commercieel;;Woonbron;120;550;;direct;;
;Pieter de Hoochstraat 103;Bedrijfsruimte;Comm/maatscha;;Woonbron;94;1085;;direct;;
;Rochussenstraat 301;Bedrijfsruimte;Comm/maatscha;;Woonbron;87;975;;direct;;
;Rochussenstraat 303;kantoor/ winkel;Commercieel;;Woonbron;97;850;;direct;;
;Tidemanstraat 1;Winkel;Commercieel;;Woonbron;90;915;;direct;;
;Willem Buytewechstraat 143 H;Winkel;Commercieel;;Woonbron;49;700;;direct;;
;1ste IJzerstraat 22;Winkel;Commercieel;;Woonbron;44;350;;direct;;
;Passerelstraat 11b;bedrijfsruimte ;opslag;;Woonbron;15;120;;in overleg;;
;Uiterdijk 42-46;Bedrijfsruimte;Commercieel;;Woonbron;415;2725;;direct;;
;Uiterdijk 42-46;Kantoorruimte;Commercieel;;Woonbron;196;1650;;direct;;
;Heijse Blik;Bedrijfsruimte;Maatschappij;;Woonbron;188;1570;;direct;;
;Heijse Blik;Bedrijfsruimte;Maatschappij;;Woonbron;182;1520;;direct;;
;Keizersmantelweg 413;Bedrijfsruimte;Maatschappij;;Woonbron;75;750;;direct;;
;Wijde Blick;Bedrijfsruimte;Maatschappij;;Woonbron;360;3600;;direct;;
;Einsteinplaats 905;bedrijfsruimte;maatschapelijk;;Woonbron;81;575;;in overleg;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
